Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2017,2018,2019,2020,2021,2022,Estimates Start After
Ecuador,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",104.296,107.562,108.108,99.291,106.166,115.462,2021
Ecuador,"Inflation, average consumer prices",Index,,"Source: National Statistics Office. Source: INEC and Central Bank Latest actual data: 2021 Notes: The price Ecuador receives for its oil exports is subject to effects of marketing and discounts for the quality of the Ecuadorian mix. These effects are variable over time. Therefore, while the price of Ecuadorian oil moves in tandem with world prices, deviations are to be expected in projection. Harmonized prices: No Base year: 2014. The authorities introduced the series with base in 2014 in 2015, and presents data for this year onwards. Prior years are obtained by splicing the series backwards with the old CPI series. As a result the base year is different from100. Primary domestic currency: US dollar Data last updated: 04/2022",105.442,105.206,105.486,105.129,105.269,108.644,2021
Ecuador,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,32.05,35.598,33.66,29.618,34.024,n/a,2020
Ecuador,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,36.511,37.653,36.402,35.73,35.5,n/a,2020
Ecuador,General government net debt,Percent of GDP,,,,,,,,,
Ecuador,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,47.03,49.087,51.411,60.89,62.237,n/a,2020
Egypt,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",236.528,250.253,302.335,364.023,402.838,435.621,2021
Egypt,"Inflation, average consumer prices",Index,,"Source: Central Agency for Public Mobilization and Statistics (CAPMAS) Latest actual data: FY2020/21 Harmonized prices: No. Data refer to fiscal years Base year: FY2018/19. On October 10, 2019 the Central Agency for Public Mobilization and Statistics (CAPMAS) released the 10th CPI series with the publication of the September 2019 CPI data, using 2018/2019 as a base period. Primary domestic currency: Egyptian pound Data last updated: 03/2022",72.658,87.808,99.992,105.692,110.45,118.736,2021
Egypt,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,21.761,20.67,20.296,19.153,19.966,21.395,2021
Egypt,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.19,30.107,28.282,27.001,27.274,28.234,2021
Egypt,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,91.255,84.81,78.485,83.787,88.58,89.066,2021
Egypt,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,103.04,92.484,84.214,89.647,93.498,93.984,2021
El Salvador,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",24.979,26.021,26.897,24.639,28.326,30.72,2020
El Salvador,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2021 Harmonized prices: No Base year: 2009. Dec.2009=100 Primary domestic currency: US dollar Data last updated: 03/2022,111.15,112.359,112.443,112.027,115.912,121.965,2021
El Salvador,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,25.235,24.557,24.124,24.525,26.38,26.372,2020
El Salvador,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,27.763,27.263,27.192,32.715,32.05,31.993,2020
El Salvador,General government net debt,Percent of GDP,,,,,,,,,
El Salvador,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,70.526,70.354,71.289,89.164,83.587,82.561,2020
Equatorial Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.201,13.097,11.417,10.022,12.701,16.335,2020
Equatorial Guinea,"Inflation, average consumer prices",Index,,"Source: Ministry of Economy and/or Planning. Ministry of Economy, Planning, and Public Investment Latest actual data: 2021 Harmonized prices: No Base year: 2008 Primary domestic currency: CFA franc Data last updated: 03/2022",134.96,136.776,138.436,145.078,144.942,150.739,2021
Equatorial Guinea,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,17.48,19.884,18.536,14.211,14.257,16.354,2020
Equatorial Guinea,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,20.07,19.353,16.721,15.959,12.561,12.818,2020
Equatorial Guinea,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,30.697,29.87,31.689,37.901,28.497,18.334,2020
Equatorial Guinea,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,36.235,41.207,42.989,48.755,39.932,27.826,2020
Eritrea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.904,2.006,1.982,2.083,2.271,2.568,2018
Eritrea,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2018 Harmonized prices: No Base year: 2000 Primary domestic currency: Eritrean nakfa Data last updated: 03/2022,714.218,611.366,511.314,536.071,560.197,594.858,2018
Eritrea,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,36.755,31.581,33.973,31.541,32.483,34.267,2018
Eritrea,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,42.792,27.369,33.359,35.958,36.462,35.279,2018
Eritrea,General government net debt,Percent of GDP,,,,,,,,,
Eritrea,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,202.536,185.607,187.087,182.166,170.824,151.858,2018
Estonia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",26.915,30.503,31.049,30.626,36.287,37.202,2021
Estonia,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2021 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 03/2022,104.48,108.045,110.496,109.795,114.722,128.374,2021
Estonia,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,38.498,38.891,39.556,40.289,40.401,39.474,2021
Estonia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,39.236,39.447,39.434,45.885,42.755,43.238,2021
Estonia,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,-1.818,-1.784,-2.197,3.048,4.559,8.488,2021
Estonia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,9.122,8.24,8.558,18.996,18.052,20.881,2021
Eswatini,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.407,4.666,4.495,3.974,4.681,4.646,2020
Eswatini,"Inflation, average consumer prices",Index,,"Source: National Statistics Office. Updated methodology has been applied to the series. Prior to 2006, the data are adjusted using previous historical data as proxies to produce smooth series with the use of splicing technique. Latest actual data: 2021 Harmonized prices: No Base year: 2000 Primary domestic currency: Swazi lilangeni Data last updated: 03/2022",312.372,327.413,335.919,348.925,361.901,379.269,2021
Eswatini,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,28.229,25.067,27.308,28.682,25.496,25.174,2020
Eswatini,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,35.077,34.605,34.261,34.058,31.204,30.933,2020
Eswatini,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,20.815,26.634,32.983,35.592,35.556,38.63,2020
Eswatini,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,27.628,33.862,39.629,42.109,42.767,45.576,2020
Ethiopia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",76.841,80.207,92.608,96.611,99.269,105.325,2021
Ethiopia,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2021 Notes: For WEO purposes, calendar year Harmonized prices: No Base year: 2016 Primary domestic currency: Ethiopian birr Data last updated: 03/2022",110.687,125.999,145.918,175.618,222.642,299.403,2021
Ethiopia,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,14.743,13.07,12.819,11.705,11.031,10.494,2021
Ethiopia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,17.987,16.099,15.353,14.469,13.798,14.494,2021
Ethiopia,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,51.34,54.798,50.666,50.082,49.624,45.917,2021
Ethiopia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,55.278,58.449,54.699,53.697,52.95,48.32,2021
Fiji,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.353,5.581,5.496,4.574,4.657,5.172,2020
Fiji,"Inflation, average consumer prices",Index,,Source: National Statistics Office. Fiji Islands Bureau of Statistics Latest actual data: 2020 Harmonized prices: No Base year: 2011 Primary domestic currency: Fijian dollar Data last updated: 04/2022,116.419,121.171,123.319,120.119,120.307,125.12,2020
Fiji,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,26.019,28.102,26.648,23.041,19.52,20.496,2021
Fiji,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,28.114,32.478,30.223,30.939,32.404,33.811,2021
Fiji,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,42.993,45.31,48.195,61.423,78.389,86.266,2021
Fiji,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,43.427,45.767,48.682,62.043,79.181,87.137,2021
Finland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",255.558,275.84,268.538,271.619,298.868,297.617,2020
Finland,"Inflation, average consumer prices",Index,,"Source: National Statistics Office. Eurostat, downloaded through Haver Analytics Latest actual data: 2020 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 03/2022",101.232,102.415,103.579,103.976,106.124,110.205,2020
Finland,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,52.979,52.468,52.345,51.468,52.606,51.463,2020
Finland,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,53.633,53.321,53.284,56.892,55.359,53.935,2020
Finland,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,21.819,24.448,26.981,33.296,34.134,35.125,2020
Finland,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,61.167,59.779,59.594,68.986,66.691,67.069,2020
France,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,589.03","2,789.68","2,730.11","2,621.96","2,935.49","2,936.70",2021
France,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2021 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 03/2022,101.473,103.603,104.947,105.498,107.676,112.064,2021
France,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,53.545,53.356,52.262,52.633,52.814,51.364,2021
France,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,56.503,55.645,55.332,61.716,59.863,57.012,2021
France,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,89.377,89.239,88.84,102.629,99.809,100.058,2021
France,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,98.131,97.783,97.414,115.152,112.331,112.581,2021
Gabon,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14.924,16.875,16.875,15.339,19.161,22.456,2020
Gabon,"Inflation, average consumer prices",Index,,Source: National Statistics Office. Macroeconomics Department Latest actual data: 2020 Harmonized prices: Yes Base year: 2000 Primary domestic currency: CFA franc Data last updated: 03/2022,128.734,134.884,137.611,139.456,140.96,145.048,2020
Gabon,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,16.414,16.873,19.534,17.615,15.563,17.024,2020
Gabon,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,18.114,17.084,17.407,19.807,17.054,15.44,2020
Gabon,General government net debt,Percent of GDP,,,,,,,,,
Gabon,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,62.886,60.914,59.778,77.317,69.507,57.441,2020
The Gambia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.498,1.662,1.806,1.828,2.025,2.166,2020
The Gambia,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Base year: 1990 Primary domestic currency: Gambian dalasi Data last updated: 03/2022,452.106,481.587,515.856,546.453,586.728,633.868,2020
The Gambia,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,19.273,15.085,21.189,22.75,17.166,19.902,2020
The Gambia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,23.622,20.823,23.737,24.904,21.614,24.252,2020
The Gambia,General government net debt,Percent of GDP,,,,,,,,,
The Gambia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,86.979,83.596,82.967,85.032,82.997,80.355,2020
Georgia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",16.242,17.599,17.477,15.846,18.696,20.889,2021
Georgia,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2021 Harmonized prices: No Base year: 2010. The PCPI series are rebased, consistent with Geostat, to 2010 average = 100. Primary domestic currency: Georgian lari Data last updated: 04/2022",124.181,127.429,133.613,140.564,154.012,169.183,2021
Georgia,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,27.111,26.37,27.105,25.213,25.423,25.331,2021
Georgia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,27.596,27.187,28.947,34.468,31.444,29.203,2021
Georgia,General government net debt,Percent of GDP,,,,,,,,,
Georgia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,39.446,38.886,40.434,60.19,49.495,50.327,2021
Germany,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","3,689.55","3,979.09","3,888.76","3,843.34","4,225.92","4,256.54",2021
Germany,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2021 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Harmonized prices: Yes. Until 1995 Consumer Price Index Annual Average, from 1996 and onwards harmonized Consumer Price Index Annual Average. Base year: 2015 Primary domestic currency: Euro Data last updated: 04/2022",102.067,104.042,105.45,105.842,109.242,115.211,2021
Germany,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,45.511,46.239,46.462,46.529,47.772,47.212,2021
Germany,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,44.175,44.325,44.991,50.842,51.482,50.546,2021
Germany,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,45.434,42.632,40.457,46.291,49.048,51.091,2021
Germany,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,64.658,61.271,58.925,68.724,70.206,70.871,2021
Ghana,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",60.385,67.259,68.353,68.498,76.359,73.894,2019
Ghana,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2019 Harmonized prices: No Base year: 2012 Primary domestic currency: Ghanaian cedi Data last updated: 03/2022,199.323,218.931,234.571,257.758,283.471,329.623,2019
Ghana,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,13.616,14.104,13.863,13.334,14.675,16.533,2018
Ghana,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,17.582,20.895,21.148,28.962,26.304,25.242,2018
Ghana,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,51.872,60.709,58.968,74.103,76.811,79.576,2018
Ghana,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,56.984,61.976,62.694,78.303,81.806,84.571,2018
Greece,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",199.773,212.146,205.166,188.684,216.384,222.77,2021
Greece,"Inflation, average consumer prices",Index,,"Source: National Statistics Office. Formally, the National Statistical Office (ELSTAT) Latest actual data: 2021 Harmonized prices: Yes Base year: 2005 Primary domestic currency: Euro Data last updated: 04/2022",119.922,120.851,121.476,119.943,120.632,126.079,2021
Greece,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,49.408,49.305,48.024,48.932,49.122,48.289,2021
Greece,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,48.496,48.499,47.816,59.804,57.867,53.069,2021
Greece,General government net debt,Percent of GDP,,,,,,,,,
Greece,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,182.68,190.147,185.082,211.897,198.933,185.407,2021
Grenada,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.126,1.167,1.213,1.043,1.115,1.192,2020
Grenada,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Base year: 2010. Jan. 2010 = 100 Primary domestic currency: Eastern Caribbean dollar Data last updated: 03/2022,110.368,111.257,111.923,111.093,112.449,117.446,2020
Grenada,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,25.604,26.959,26.612,28.137,31.783,28.979,2020
Grenada,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,22.589,22.369,21.643,26.932,31.455,32.417,2020
Grenada,General government net debt,Percent of GDP,,,,,,,,,
Grenada,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,70.403,60.773,58.555,71.408,70.316,69.04,2020
Guatemala,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",71.624,73.212,77.004,77.603,85.715,91.019,2021
Guatemala,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2021 Harmonized prices: No Base year: 2010. 12/01/2010 Primary domestic currency: Guatemalan quetzal Data last updated: 03/2022,130.358,135.248,140.253,144.761,150.929,157.536,2021
Guatemala,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,11.393,11.325,11.227,10.691,12.395,12.299,2021
Guatemala,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,12.778,13.209,13.468,15.608,13.584,14.657,2021
Guatemala,General government net debt,Percent of GDP,,,,,,,,,
Guatemala,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,25.093,26.473,26.484,31.525,30.868,30.591,2021
Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",10.325,11.857,13.514,15.294,17.611,20.952,2019
Guinea,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2021 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. Harmonized prices: No Base year: 1991. December 1991=100 Primary domestic currency: Guinean franc Data last updated: 03/2022,"1,545.48","1,697.33","1,858.08","2,055.08","2,313.95","2,607.07",2021
Guinea,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,15.284,14.942,14.424,12.892,12.585,12.588,2021
Guinea,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,17.346,16.034,14.9,15.781,14.077,16.942,2021
Guinea,General government net debt,Percent of GDP,,,,,,,,,
Guinea,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,41.884,39.267,38.373,44.027,39.262,39.077,2021
Guinea-Bissau,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.469,1.506,1.44,1.475,1.629,1.656,2017
Guinea-Bissau,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 1997 cannot be confirmed by national sources at this time. Harmonized prices: No. The data cover only the national capital, Bissau. Base year: 2014. New rebased data provided by INE Primary domestic currency: CFA franc Data last updated: 03/2022",104.023,104.42,104.718,106.251,109.707,114.091,2020
Guinea-Bissau,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,16.788,15.191,15.422,15.898,19.837,17.809,2020
Guinea-Bissau,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,18.108,20.111,19.409,25.85,25.726,21.94,2020
Guinea-Bissau,General government net debt,Percent of GDP,,,,,,,,,
Guinea-Bissau,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,50.661,59.82,66.455,79.353,80.691,79.674,2020
Guyana,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.748,4.788,5.174,5.471,7.612,13.543,2021
Guyana,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2021 Harmonized prices: No Base year: 2009. Base is December 2009. Primary domestic currency: Guyanese dollar Data last updated: 03/2022,114.729,116.189,118.619,119.476,125.575,132.384,2021
Guyana,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,23.169,25.035,25.61,22.763,18.793,16.645,2021
Guyana,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,26.451,27.805,28.366,30.706,26.18,16.516,2021
Guyana,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,39.536,42.269,40.757,48.219,38.841,23.264,2021
Guyana,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,42.894,47.033,43.562,51.082,43.74,25.264,2021
Haiti,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",15.036,16.454,14.787,14.508,21.017,20.168,2021
Haiti,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: FY2020/21. New rebased series from October 2017 (fiscal year 2018). Harmonized prices: No Base year: FY2017/18 Primary domestic currency: Haitian gourde Data last updated: 04/2022,89.754,100,117.308,144.225,167.216,209.843,2021
Haiti,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,9.92,10.136,8.012,7.485,8.308,8.801,2021
Haiti,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,9.771,11.145,10.125,9.881,10.838,9.943,2021
Haiti,General government net debt,Percent of GDP,,,,,,,,,
Haiti,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,18.958,21.553,25.794,21.346,24.226,22.505,2021
Honduras,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",23.136,24.068,25.09,23.828,28.221,30.116,2021
Honduras,"Inflation, average consumer prices",Index,,Source: Central Bank Latest actual data: 2021 Harmonized prices: No Base year: 1999. December 1999 = 100 Primary domestic currency: Honduran lempira Data last updated: 04/2022,304.017,317.236,331.083,342.567,357.917,379.555,2021
Honduras,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,26.45,26.353,25.813,23.352,25.022,25.572,2021
Honduras,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,26.858,26.156,25.724,28.001,27.774,27.645,2021
Honduras,General government net debt,Percent of GDP,,,,,,,,,
Honduras,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,38.853,39.711,42.623,50.972,48.186,47.596,2021
Hong Kong SAR,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",341.271,361.731,363.052,344.879,368.137,369.486,2021
Hong Kong SAR,"Inflation, average consumer prices",Index,,"Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2021 Notes: Hong Kong Authorities change the weights for Composite CPI every 5 years. From Oct 2009, the series with 2010 weights are used; between Oct 2004 and Sep 2009, the series with 2005 weights are used; between Oct 1999 and Sep 2004, the series with 2000 weights are used to splice; prior to Sep 1999, the series with 1995 weight. Harmonized prices: No Base year: 2019. HK: Price Index (Oct.19-Sep.20=100) Primary domestic currency: Hong Kong dollar Data last updated: 03/2022",94.55,96.825,99.617,99.867,101.433,103.361,2021
Hong Kong SAR,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,22.852,20.742,20.368,20.68,23.799,24.322,2021
Hong Kong SAR,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,17.36,18.392,20.951,29.911,23.965,27.508,2021
Hong Kong SAR,General government net debt,Percent of GDP,,,,,,,,,
Hong Kong SAR,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,0.055,0.052,0.267,0.998,2.136,3.316,2021
Hungary,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",143.136,160.587,163.517,155.808,184.577,197.813,2021
Hungary,"Inflation, average consumer prices",Index,,Source: International Financial Institution Latest actual data: 2021 Harmonized prices: No Base year: 2010 Primary domestic currency: Hungarian forint Data last updated: 03/2022,114.536,117.799,121.771,125.812,132.254,145.941,2021
Hungary,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,44.012,43.748,43.629,43.291,40.249,41.144,2020
Hungary,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,46.44,45.842,45.707,51.355,47.019,46.585,2020
Hungary,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,65.124,62.1,58.528,73.085,71.158,68.984,2020
Hungary,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,72.075,69.05,65.479,80.036,78.109,75.935,2020
Iceland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",24.728,26.264,24.82,21.625,25.459,27.865,2020
Iceland,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Base year: 2008. Base period is 2008M1. Primary domestic currency: Icelandic króna Data last updated: 04/2022,156.88,161.094,165.94,170.672,178.267,190.565,2020
Iceland,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,45.364,44.755,41.862,42.056,40.418,41.911,2020
Iceland,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,44.409,43.843,43.386,50.731,49.335,46.972,2020
Iceland,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,60.19,50.653,54.097,60.757,59.878,55.64,2020
Iceland,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,71.638,63.141,66.246,77.408,75.018,68.822,2020
India,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,651.47","2,702.93","2,831.55","2,667.69","3,177.92","3,534.74",2021
India,"Inflation, average consumer prices",Index,,Source: National Statistics Office. The original data are in monthly. IMF staff collapsed it to fiscal year data. Latest actual data: FY2019/20 Harmonized prices: No. CPI-National (CY2006M1 forward) is used spliced with CPI-Industrial Workers (CY2005M12 backward) [20011=100]. Base year: FY2011/12 Primary domestic currency: Indian rupee Data last updated: 03/2022,143.259,148.171,155.227,164.812,173.905,184.484,2020
India,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,20.004,19.952,19.929,18.295,19.741,18.899,2020
India,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,26.232,26.328,27.423,31.052,30.092,28.843,2020
India,General government net debt,Percent of GDP,,,,,,,,,
India,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,69.677,70.392,75.105,90.056,86.758,86.902,2020
Indonesia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,015.49","1,042.71","1,120.05","1,059.90","1,186.07","1,289.30",2021
Indonesia,"Inflation, average consumer prices",Index,,Source: National Statistics Office. Accessed via Haver Data. Latest actual data: 2021 Harmonized prices: No Base year: 2018. The authorities issue 2018=100 data from Jan. 2018 onward. Data prior 2018 were ratio spliced from Haver. Primary domestic currency: Indonesian rupiah Data last updated: 03/2022,96.813,99.999,102.819,104.909,106.546,110.051,2021
Indonesia,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,14.053,14.881,14.154,12.465,13.594,13.527,2021
Indonesia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,16.562,16.631,16.383,18.604,18.212,17.498,2021
Indonesia,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,25.285,26.658,27.035,36.143,39.537,39.694,2021
